src_ip,dst_ip,src_port,dst_port,protocol,packet_size
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
543,463,443,63781,6,1470
543,463,443,63781,6,1470
463,543,63781,443,6,54
543,463,443,63781,6,1470
